"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 16 20:26:10 GMT 2024","Wed Oct 16 20:26:10 GMT 2024","0","","tests","TestNavigate","","","test_navigate_back_to_start_page",""
"broken","Wed Oct 16 20:26:09 GMT 2024","Wed Oct 16 20:26:09 GMT 2024","0","","tests","TestValueAddress","","","test_value_address",""
"broken","Wed Oct 16 20:26:11 GMT 2024","Wed Oct 16 20:26:11 GMT 2024","0","","tests","TestRemoveItem","","","test_add_product_to_cart",""
"broken","Wed Oct 16 20:26:09 GMT 2024","Wed Oct 16 20:26:09 GMT 2024","0","","tests","TestAddToCart","","","test_add_multiple_products_to_cart",""
"broken","Wed Oct 16 20:26:11 GMT 2024","Wed Oct 16 20:26:11 GMT 2024","0","","tests","TestInvalidPromo","","","test_add_product_to_cart",""
"broken","Wed Oct 16 20:26:10 GMT 2024","Wed Oct 16 20:26:10 GMT 2024","0","","tests","TestProductPrice","","","test_product_price_displayed_correctly_in_cart",""
"broken","Wed Oct 16 20:26:12 GMT 2024","Wed Oct 16 20:26:12 GMT 2024","0","","tests","TestInvalidClient","","","test_add_product_to_cart",""
"broken","Wed Oct 16 20:26:08 GMT 2024","Wed Oct 16 20:26:08 GMT 2024","0","","tests","TestAddToCart","","","test_add_product_to_cart",""
